Strike,Date,Tribal Agency,Country,Location,Full Address,Latitude,Longitude,Time Period,Minimum All Targets,Maximum All Targets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported Fired,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
Ob232,20/07/2011,NWA,Pakistan,Khushali,Pakistan Khushali,32.9387751,70.2482734,,1,1,1,1,0,0,0,0,0,0,4,2,2,4,4,0,0,0,0,2,2
Ob240,23/09/2011,NWA,Pakistan,Khushali,Pakistan Khushali,32.9387751,70.2482734,Evening,1,2,1,1,0,0,0,0,0,1,4,2,5,3,8,0,0,0,0,3,4
Ob274,28/05/2012,NWA,Pakistan,Khushali,Pakistan Khushali,32.9387751,70.2482734,Night,1,2,1,1,0,0,0,0,0,1,4,4,8,4,10,0,0,0,0,4,4
Ob285,29/07/2012,NWA,Pakistan,Khushali,Pakistan Khushali,32.9387751,70.2482734,Afternoon,0,2,0,1,0,0,0,0,0,1,4,6,6,4,7,0,3,0,0,4,4
Ob311,10/1/2013,NWA,Pakistan,Khushali,Pakistan Khushali,32.9387751,70.2482734,Morning,1,2,1,1,0,0,0,0,0,1,4,2,4,3,6,0,0,0,0,0,0
B39,7/11/2008,NWA,Pakistan,Kumsham,Pakistan Kumsham,32.699489,69.838715,Morning,1,1,1,1,0,0,0,0,0,0,4,4,5,11,16,6,11,0,0,17,17
Ob18,14/06/2009,SWA,Pakistan,Ladha,Pakistan Ladha,33.7978438,72.4860955,Morning,0,2,0,0,0,0,0,0,0,2,-,Unreported,Unreported,3,5,0,3,0,0,0,0
Ob25,8/7/2009,SWA,Pakistan,Ladha,Pakistan Ladha,33.7978438,72.4860955,Night,1,1,1,1,0,0,0,0,0,0,-,4,6,8,10,0,0,0,0,5,12
Ob26,8/7/2009,SWA,Pakistan,Ladha,Pakistan Ladha,33.7978438,72.4860955,Afternoon,5,5,0,0,0,0,0,0,5,5,-,5,5,35,40,0,0,0,0,1,1
Ob29,5/8/2009,SWA,Pakistan,Ladha,Pakistan Ladha,33.7978438,72.4860955,Night,1,1,1,1,0,0,0,0,0,0,4,2,4,1,12,1,4,0,0,5,5
Ob47,10/12/2009,SWA,Pakistan,Ladha,Pakistan Ladha,33.7978438,72.4860955,,1,1,1,1,0,0,0,0,0,0,-,2,2,6,6,0,0,0,0,8,8
Ob194,8/3/2011,SWA,Pakistan,Landidog,Pakistan Landidog,32.28891,69.415827,Afternoon,1,2,1,2,0,0,0,0,0,0,3,2,5,2,5,0,5,0,0,2,2
Ob91,11/5/2010,NWA,Indonesia,Lawra Mandi,Indonesia Lawra Mandi,32.97922,69.496036,Morning,2,2,1,1,0,0,0,0,1,1,4,11,18,8,14,0,4,0,0,12,12
Ob132,26/09/2010,NWA,Indonesia,Lawra Mandi,Indonesia Lawra Mandi,32.97922,69.496036,,0,2,0,1,0,0,0,0,0,1,-,5,5,4,5,0,0,0,0,2,2
Ob33,7/9/2009,NWA,Pakistan,Machi Khel,Pakistan Machi Khel,33.0291339,70.2467852,Evening,1,3,1,1,0,1,0,0,0,1,3,2,2,5,8,3,3,0,0,2,7
Ob52,31/12/2009,NWA,Pakistan,Machi Khel,Pakistan Machi Khel,33.0291339,70.2467852,Evening,1,2,1,2,0,0,0,0,0,0,4,2,2,3,7,3,3,1,1,2,2
Ob87,24/04/2010,NWA,Pakistan,Machi Khel,Pakistan Machi Khel,33.0291339,70.2467852,Evening,1,1,1,1,0,0,0,0,0,0,-,3,3,7,9,0,0,0,0,0,0
